Model,Silhouette,DB_Index,CH_Score,N_Clusters
KMeans,0.2569767511979694,1.4258235440638851,39503.04443224314,2
GMM,0.25265120584223505,1.4931518675294875,35413.057076075325,2
DBSCAN,,,,1
