Model,Accuracy,Precision_W,Recall_W,F1_Weighted
BiLSTM,0.9615627387794425,0.9656660646568339,0.9615627387794425,0.9626773171014117
TF-IDF + LR,0.9615295172917844,0.9656123592998931,0.9615295172917844,0.9626409521577209
