Model,RMSE,MAE,RMSE_improvement%,MAE_improvement%
Baseline (Global Mean),2.593877474896989,1.921069246412992,22.87285124466594,23.619433022334007
Baseline (User Mean),3.3631185863299504,2.5151282877681713,0.0,0.0
SVD,2.618541347199914,1.9505859418111375,22.139488097639948,22.445866825265885
NCF,2.585940956602225,1.9238816965532206,23.10883811491855,23.50761168288558
Wide & Deep,2.4233617186212815,1.8612989647276235,27.943019063570745,25.995863758533407
