Model,Accuracy,Precision,Recall,F1-Score
TF-IDF + Logistic Regression,0.9615295172917844,0.9656123592998931,0.9615295172917844,0.9626409521577209
Bidirectional LSTM,0.9615627387794425,0.9656660646568339,0.9615627387794425,0.9626773171014117
